NA.specific	tm_method_term_clean
n	phosphopantetheinylation
n	phosphotransferase assay
n	photoactivatable-ribonucleoside-enhanced crosslinking and immunoprecipitation
n	photoactivatable-ribonucleoside-enhanced-crosslinking and immunoprecipitation
n	ping
n	pings
n	pisa
n	plisa
y	polymerase assay
n	protease assay
n	protease-assay
n	proteases assay
n	protein array
n	protein complementation assay
n	protein kinase assay
n	protein kinases assay
n	protein phosphatase assay
n	protein-array
n	proteins array
n	proximity ligation
n	proximity ligation assay
n	proximity ligations
n	proximity ligations assay
n	proximity-dependent biotin identification
n	proximity-ligation
n	proximity-ligation assay
n	proximity-ligation-assay
n	pull down
n	pull downs
n	pull- down
n	pull-down
n	pull-downs
n	pulldown
n	pulldowns
n	pulls down
n	pulls-down
n	pulls-downs
n	qcm-d
n	qcmd
n	quartz crystal microbalance
n	quartz crystal microbalance with dissipation monitoring
n	quartz-crystal microbalance with dissipation monitoring
n	reverse two-hybrid
y	ribonuclease assay
n	ribosome display
n	ribosome-display
n	ribosomes display
n	saturation binding
n	saturation-binding
n	split firefly luciferase complementation
n	split luciferase complementation
n	split luciferase complementation assay
n	split ubiquitin
n	split-luciferase complementation
n	split-luciferase complementation assay
n	split-ubiquitin
n	static light scattering
n	static light-scattering
n	sumoylation
n	surface plasmon resonance
n	surface plasmon resonances
n	surface-plasmon resonance
n	surface-plasmon-resonance
n	systematic evolution of ligands by exponential enrichment
n	tandem affinity purification
n	tandem affinity purifications
n	tandem affinity-purification
n	tandem-affinity purification
n	tandem-affinity purifications
n	tandem-affinity-purification
n	thermshift binding assay
n	three hybrid
n	three hybrid system
n	three hybrid systems
n	three hybrids
n	three-hybrid
n	three-hybrid system
n	three-hybrid systems
n	tri-hybrid assay
n	two hybrid
n	two- hybrid
n	two-hybrid
n	two-hybrids
n	twohybrid
n	y-2h
n	y2h
n	yeast
n	yeast display
y	yeast one hybrid
y	yeast one-hybrid
n	yeast two hybrid
n	yeast two hybrids
n	yeast two- hybrid
n	yeast two-hybrid
n	yeast two-hybrids
n	yeast twohybrid
n	yeast-display
y	yeast-one hybrid
y	yeast-one-hybrid
n	yeast-two hybrid
n	yeast-two-hybrid
n	zymographies
n	zymography
