pmid	pair_id	set	DS.score.pred	up_ccline
16282588	B2R4R0_Q99873	DSP predicted	0	no
16282588	B4DI29_B4DPW8	DSP predicted	0	no
16282588	B4DI29_F1D8N9	DSP predicted	0	no
16282588	B4DI29_P10276	DSP predicted	0	no
16282588	B4DI29_Q15596	DSP predicted	0	no
16282588	B4DI29_Q6I9R7	DSP predicted	0	no
16282588	B4DI29_Q86X55	DSP predicted	0	no
16282588	B4DI29_Q92831	DSP predicted	0	no
16282588	B4DI29_Q9BQG0	DSP predicted	0	no
16282588	B4DPW8_B4E127	DSP predicted	0	no
16282588	B4DPW8_Q13569	DSP predicted	0	no
16282588	B4E127_F1D8N9	DSP predicted	0	no
16282588	B4E127_P10276	DSP predicted	0	no
16282588	B4E127_Q15596	DSP predicted	0	no
16282588	B4E127_Q6I9R7	DSP predicted	0	no
16282588	B4E127_Q86X55	DSP predicted	0	no
16282588	B4E127_Q92831	DSP predicted	0	no
16282588	B4E127_Q9BQG0	DSP predicted	0	no
16282588	F1D8N9_Q13569	DSP predicted	0	no
16282588	H7C2I1_P62805	DSP predicted	0	no
16282588	P03372_P12931	DSP predicted	0	no
16282588	P03372_Q13569	predicted & curated	0	no
16282588	P03372_Q15788	predicted & curated	0	no
16282588	P10276_Q13569	DSP predicted	0	no
16282588	P12931_Q13569	DSP predicted	0	no
16282588	P12931_Q86UG4	DSP predicted	0	no
16282588	P19785_Q13569	IMEx curated		
16282588	P19785_Q15788	IMEx curated		
16282588	P52701_Q13569	DSP predicted	0	no
16282588	P56581_Q15788	IMEx curated		
16282588	P62805_Q86X55	DSP predicted	0	no
16282588	P62805_Q99873	DSP predicted	0	no
16282588	Q09472_Q92831	DSP predicted	0	no
16282588	Q09472_Q9BQG0	DSP predicted	0	no
16282588	Q13569_Q15596	DSP predicted	0	no
16282588	Q13569_Q15788	predicted & curated	0	no
16282588	Q13569_Q6I9R7	DSP predicted	0	no
16282588	Q13569_Q86UG4	DSP predicted	0	no
16282588	Q13569_Q86X55	DSP predicted	0	no
16282588	Q13569_Q92831	DSP predicted	0	no
16282588	Q13569_Q9BQG0	DSP predicted	0	no
16282588	Q15788_Q86UG4	DSP predicted	0	no
16282588	Q7Z6C1_Q92831	DSP predicted	0	no
16282588	Q7Z6C1_Q9BQG0	DSP predicted	0	no
16282588	Q92831_Q9BQG0	DSP predicted	0	no
16455647	A0A087WSV6_P01732	DSP predicted	1	no
16455647	A0A087WSV6_Q6ZVS2	DSP predicted	1	no
16455647	A0A087WSV6_Q8TAW8	DSP predicted	1	no
16455647	A0A087WSX8_P01732	DSP predicted	1	no
16455647	A0A087WSX8_Q6ZVS2	DSP predicted	1	no
16455647	A0A087WSX8_Q8TAW8	DSP predicted	1	no
16455647	A0A0B4J1W1_P01732	DSP predicted	1	no
16455647	A0A0B4J1W1_Q6ZVS2	DSP predicted	1	no
16455647	A0A0B4J1W1_Q8TAW8	DSP predicted	1	no
16455647	A8MVE2_P01732	DSP predicted	1	no
16455647	A8MVE2_Q6ZVS2	DSP predicted	1	no
16455647	A8MVE2_Q8TAW8	DSP predicted	1	no
16455647	D9IDM5_P01732	DSP predicted	1	no
16455647	D9IDM5_Q6ZVS2	DSP predicted	1	no
16455647	D9IDM5_Q8TAW8	DSP predicted	1	no
16455647	P01732_P17693	DSP predicted	1	no
16455647	P01732_Q31611	DSP predicted	1	no
16455647	P01732_Q5RJ85	DSP predicted	1	no
16455647	P01732_Q6DU14	DSP predicted	1	no
16455647	P01732_Q8NHL6	DSP predicted	1	no
16455647	P16104_P17693	IMEx curated		
16455647	P16104_P61769	IMEx curated		
16455647	P16104_Q8N423	IMEx curated		
16455647	P16104_Q8NHL6	IMEx curated		
16455647	P17693_P17693	IMEx curated		
16455647	P17693_Q6ZVS2	DSP predicted	1	no
16455647	P17693_Q8N423	IMEx curated		
16455647	P17693_Q8NHL6	IMEx curated		
16455647	P17693_Q8TAW8	DSP predicted	1	no
16455647	P61769_Q8N423	IMEx curated		
16455647	P61769_Q8NHL6	IMEx curated		
16455647	Q31611_Q6ZVS2	DSP predicted	1	no
16455647	Q31611_Q8TAW8	DSP predicted	1	no
16455647	Q5RJ85_Q6ZVS2	DSP predicted	1	no
16455647	Q5RJ85_Q8TAW8	DSP predicted	1	no
16455647	Q6DU14_Q6ZVS2	DSP predicted	1	no
16455647	Q6DU14_Q8TAW8	DSP predicted	1	no
16455647	Q6ZVS2_Q8NHL6	DSP predicted	1	no
16455647	Q8NHL6_Q8TAW8	DSP predicted	1	no
16951355	B4E0L1_Q53QY6	DSP predicted	0	no
16951355	B4E0L1_Q9Y6W8	DSP predicted	0	no
16951355	O75144_O75144	IMEx curated		
16951355	O75144_Q9Y6W8	IMEx curated		
16951355	P10747_Q53QY6	DSP predicted	0	no
16951355	P10747_Q9Y6W8	DSP predicted	0	no
17693435	A0A140VJS3_Q01831	DSP predicted	1	yes
17693435	A0A140VJS3_X5DRB1	DSP predicted	1	yes
17693435	P28715_P55055	DSP predicted	1	yes
17693435	P28715_Q01831	DSP predicted	1	yes
17693435	P54727_Q01831	DSP predicted	1	yes
17693435	P55055_Q01831	DSP predicted	1	yes
17693435	P62195_Q01831	predicted & curated	1	yes
17693435	P62195_X5DRB1	DSP predicted	1	yes
17693435	P63165_Q01831	DSP predicted	1	yes
17693435	P63279_Q01831	DSP predicted	1	yes
17693435	Q01831_Q16531	DSP predicted	1	yes
17913746	A0A024R7I0_Q7Z5J4	DSP predicted	1	no
17913746	A0A024R7I0_Q9UGU0	DSP predicted	1	no
17913746	A0A024R7I0_W5ZR30	DSP predicted	1	no
17913746	A0A024R7I1_Q7Z5J4	DSP predicted	1	no
17913746	A0A024R7I1_Q9UGU0	DSP predicted	1	no
17913746	A0A024R7I1_W5ZR30	DSP predicted	1	no
17913746	A0A024R8E2_O14686	DSP predicted	1	no
17913746	A0A024R8E2_Q59FG6	DSP predicted	1	no
17913746	A0A024R8E2_Q6PIA1	DSP predicted	1	no
17913746	A0A140VJU7_A0AV47	DSP predicted	1	no
17913746	A0A140VJU7_A7E2X7	DSP predicted	1	no
17913746	A0A140VJU7_Q05BV8	DSP predicted	1	no
17913746	A0A140VJU7_Q92547	DSP predicted	1	no
17913746	A0A140VJU7_Q9UGU0	DSP predicted	1	no
17913746	A0A140VJU7_W5ZR30	DSP predicted	1	no
17913746	A0AV47_C9J020	DSP predicted	1	no
17913746	A0AV47_D3DSZ4	DSP predicted	1	no
17913746	A0AV47_O15530	DSP predicted	1	no
17913746	A0AV47_P78317	DSP predicted	1	no
17913746	A0AV47_Q7Z5J4	DSP predicted	1	no
17913746	A0AV47_Q86UG4	DSP predicted	1	no
17913746	A0AV47_Q9UGU0	DSP predicted	1	no
17913746	A0AV47_W5ZR30	DSP predicted	1	no
17913746	A7E2X7_C9J020	DSP predicted	1	no
17913746	A7E2X7_D3DSZ4	DSP predicted	1	no
17913746	A7E2X7_O15530	DSP predicted	1	no
17913746	A7E2X7_P78317	DSP predicted	1	no
17913746	A7E2X7_Q7Z5J4	DSP predicted	1	no
17913746	A7E2X7_Q86UG4	DSP predicted	1	no
17913746	A7E2X7_Q9UGU0	DSP predicted	1	no
17913746	A7E2X7_W5ZR30	DSP predicted	1	no
17913746	A8K2I7_Q7Z5J4	DSP predicted	1	no
17913746	A8K2I7_Q9UGU0	DSP predicted	1	no
17913746	A8K2I7_W5ZR30	DSP predicted	1	no
17913746	A8K725_Q9UGU0	DSP predicted	1	no
17913746	A8K725_W5ZR30	DSP predicted	1	no
17913746	B4DT73_Q9UGU0	DSP predicted	1	no
17913746	B4DT73_W5ZR30	DSP predicted	1	no
17913746	B4DW78_Q9UGU0	DSP predicted	1	no
17913746	B4DW78_W5ZR30	DSP predicted	1	no
17913746	C9J020_Q05BV8	DSP predicted	1	no
17913746	C9J020_Q92547	DSP predicted	1	no
17913746	C9J020_Q9UGU0	DSP predicted	1	no
17913746	C9J020_W5ZR30	DSP predicted	1	no
17913746	D3DSZ4_Q05BV8	DSP predicted	1	no
17913746	D3DSZ4_Q92547	DSP predicted	1	no
17913746	D3DSZ4_Q9UGU0	DSP predicted	1	no
17913746	D3DSZ4_W5ZR30	DSP predicted	1	no
17913746	E7EPP6_Q9UGU0	DSP predicted	1	no
17913746	E7EPP6_W5ZR30	DSP predicted	1	no
17913746	O14686_P00519	DSP predicted	1	no
17913746	O14686_Q59FK4	DSP predicted	1	no
17913746	O14686_Q92547	IMEx curated		
17913746	O14757_Q9UGU0	DSP predicted	1	no
17913746	O14757_W5ZR30	DSP predicted	1	no
17913746	O14908_Q7Z5J4	DSP predicted	1	no
17913746	O14908_Q9UGU0	DSP predicted	1	no
17913746	O14908_W5ZR30	DSP predicted	1	no
17913746	O15530_Q05BV8	DSP predicted	1	no
17913746	O15530_Q92547	DSP predicted	1	no
17913746	P00519_Q59FG6	DSP predicted	1	no
17913746	P00519_Q6PIA1	DSP predicted	1	no
17913746	P05412_Q9UGU0	DSP predicted	1	no
17913746	P05412_W5ZR30	DSP predicted	1	no
17913746	P08254_Q92547	DSP predicted	1	no
17913746	P08254_Q9BTE0	DSP predicted	1	no
17913746	P08254_Q9UGU0	DSP predicted	1	no
17913746	P14921_Q9UGU0	DSP predicted	1	no
17913746	P14921_W5ZR30	DSP predicted	1	no
17913746	P78317_Q05BV8	DSP predicted	1	no
17913746	P78317_Q92547	DSP predicted	1	no
17913746	Q01094_Q92547	DSP predicted	1	no
17913746	Q03164_Q92547	IMEx curated		
17913746	Q05BV8_Q7Z5J4	DSP predicted	1	no
17913746	Q05BV8_Q86UG4	DSP predicted	1	no
17913746	Q05BV8_Q9UGU0	DSP predicted	1	no
17913746	Q05BV8_W5ZR30	DSP predicted	1	no
17913746	Q13105_Q92547	DSP predicted	1	no
17913746	Q59FG6_Q59FK4	DSP predicted	1	no
17913746	Q59FK4_Q6PIA1	DSP predicted	1	no
17913746	Q7Z5J4_Q92547	DSP predicted	1	no
17913746	Q86UG4_Q92547	DSP predicted	1	no
17913746	Q86UG4_Q9UGU0	DSP predicted	1	no
17913746	Q86UG4_W5ZR30	DSP predicted	1	no
17913746	Q92547_Q9BTE0	DSP predicted	1	no
17913746	Q92547_Q9UGU0	predicted & curated	1	no
17913746	Q92547_Q9UMN6	IMEx curated		
17913746	Q92547_W5ZR30	DSP predicted	1	no
17913746	Q9BTE0_Q9UGU0	DSP predicted	1	no
18003659	A0A024R5Z3_B0ZTD4	DSP predicted	0	no
18003659	A0A024R5Z3_P15172	DSP predicted	0	no
18003659	A0A024R5Z3_P15173	DSP predicted	0	no
18003659	A0A024R5Z3_P55317	DSP predicted	0	no
18003659	A0A024R5Z3_Q9Y261	DSP predicted	0	no
18003659	B0ZTD4_P84022	DSP predicted	0	no
18003659	B0ZTD4_Q9P0T0	DSP predicted	0	no
18003659	B7Z4T6_P43699	DSP predicted	0	no
18003659	P08651_P43699	DSP predicted	0	no
18003659	P15172_P84022	DSP predicted	0	no
18003659	P15172_Q9P0T0	DSP predicted	0	no
18003659	P15173_P84022	DSP predicted	0	no
18003659	P15173_Q9P0T0	DSP predicted	0	no
18003659	P23512_P84022	IMEx curated		
18003659	P43699_P55317	IMEx curated		
18003659	P43699_P84022	IMEx curated		
18003659	P43699_Q15485	DSP predicted	0	no
18003659	P55317_P84022	predicted & curated	0	no
18003659	P55317_Q86UG4	DSP predicted	0	no
18003659	P55317_Q9P0T0	DSP predicted	0	no
18003659	P55317_Q9Y261	DSP predicted	0	no
18003659	P84022_Q05195	DSP predicted	0	no
18003659	P84022_Q86UG4	DSP predicted	0	no
18003659	P84022_Q9Y261	DSP predicted	0	no
18003659	Q9P0T0_Q9Y261	DSP predicted	0	no
18281698	A0A024RAZ7_Q4G0J3	DSP predicted	0	no
18281698	A0A024RB53_Q4G0J3	DSP predicted	0	no
18281698	A8K4M5_O94992	DSP predicted	0	no
18281698	A8K4M5_Q4G0J3	DSP predicted	0	no
18281698	A8K4M5_Q7L2J0	DSP predicted	0	no
18281698	A8K4M5_Q96MH2	DSP predicted	0	no
18281698	O00505_Q4G0J3	IMEx curated		
18281698	O00567_Q4G0J3	IMEx curated		
18281698	O15131_Q4G0J3	IMEx curated		
18281698	O43390_Q4G0J3	IMEx curated		
18281698	O60506_Q4G0J3	IMEx curated		
18281698	O60563_O94992	predicted & curated	0	no
18281698	O60563_Q4G0J3	predicted & curated	0	no
18281698	O60563_Q7L2J0	DSP predicted	0	no
18281698	O60563_Q96MH2	DSP predicted	0	no
18281698	O60684_Q4G0J3	IMEx curated		
18281698	O60763_Q4G0J3	DSP predicted	0	no
18281698	O75369_Q4G0J3	DSP predicted	0	no
18281698	O76054_Q4G0J3	DSP predicted	0	no
18281698	O94992_Q4G0J3	predicted & curated	0	no
18281698	O94992_Q7L2J0	DSP predicted	0	no
18281698	O95104_Q4G0J3	IMEx curated		
18281698	O95232_Q4G0J3	IMEx curated		
18281698	P08621_Q4G0J3	IMEx curated		
18281698	P09651_Q4G0J3	DSP predicted	0	no
18281698	P19338_Q4G0J3	IMEx curated		
18281698	P22087_Q4G0J3	IMEx curated		
18281698	P38919_Q4G0J3	IMEx curated		
18281698	P50750_Q4G0J3	IMEx curated		
18281698	P52292_Q4G0J3	IMEx curated		
18281698	Q13573_Q4G0J3	IMEx curated		
18281698	Q15020_Q4G0J3	IMEx curated		
18281698	Q4G0J3_Q7L2J0	predicted & curated	0	no
18281698	Q4G0J3_Q96MH2	predicted & curated	0	no
18281698	Q4G0J3_Q9H3P2	IMEx curated		
18281698	Q4G0J3_Q9H6E5	IMEx curated		
18281698	Q4G0J3_Q9UBU9	DSP predicted	0	no
18281698	Q4G0J3_Q9UHB9	IMEx curated		
18281698	Q4G0J3_Q9Y266	IMEx curated		
18281698	Q4G0J3_Q9Y295	IMEx curated		
18281698	Q7L2J0_Q96MH2	DSP predicted	0	no
18320024	A0A024R1S2_O95801	DSP predicted	2	no
18320024	K9JA46_O95801	DSP predicted	2	no
18320024	O95801_P07900	DSP predicted	2	no
18320024	O95801_P08238	predicted & curated	2	no
18320024	O95801_P11142	IMEx curated		
18320024	O95801_P12270	DSP predicted	2	no
18320024	O95801_P34932	DSP predicted	2	no
18320024	O95801_Q86SX1	DSP predicted	2	no
18320024	O95801_Q99741	predicted & curated	2	no
18320024	P08238_P12270	DSP predicted	2	no
18320024	P12270_Q99741	DSP predicted	2	no
18320024	Q15185_Q99741	DSP predicted	2	no
18430226	O00327_O15055	DSP predicted	0	no
18430226	O00327_Q16526	DSP predicted	0	no
18430226	O00327_Q49AN0	DSP predicted	0	no
18430226	O00327_Q92793	DSP predicted	0	no
18430226	O00327_Q9NWQ8	DSP predicted	0	no
18430226	O00327_Q9Y2S2	DSP predicted	0	no
18430226	O08785_O54943	IMEx curated		
18430226	O08785_P97784	IMEx curated		
18430226	O08785_Q99JJ1	IMEx curated		
18430226	O15055_Q16526	DSP predicted	0	no
18430226	O15055_Q49AN0	DSP predicted	0	no
18430226	O15055_Q9Y2S2	DSP predicted	0	no
18430226	O15516_Q5TD97	DSP predicted	0	no
18430226	O54943_Q9WTL8	IMEx curated		
18430226	P97784_Q9WTL8	IMEx curated		
18430226	Q16526_Q49AN0	DSP predicted	0	no
18430226	Q3ZCT4_Q5TD97	DSP predicted	0	no
18430226	Q53EU0_Q5TD97	DSP predicted	0	no
18430226	Q99JJ1_Q9WTL8	IMEx curated		
18559666	A0A024QZD5_B2R6F3	DSP predicted	1	no
18559666	A0A024QZD5_P84103	DSP predicted	1	no
18559666	B2R6F3_P08621	DSP predicted	1	no
18559666	B2R6F3_P0DN76	DSP predicted	1	no
18559666	B2R6F3_Q01081	DSP predicted	1	no
18559666	B2R6F3_Q7Z780	DSP predicted	1	no
18559666	B2R6F3_Q9UFS1	DSP predicted	1	no
18559666	F8WCV4_P82979	DSP predicted	1	no
18559666	P08621_P54793	DSP predicted	1	no
18559666	P08621_P55036	DSP predicted	1	no
18559666	P08621_P84103	predicted & curated	1	no
18559666	P08621_Q01081	DSP predicted	1	no
18559666	P08621_Q01130	predicted & curated	1	no
18559666	P08621_Q07955	predicted & curated	1	no
18559666	P0DN76_P42345	DSP predicted	1	no
18559666	P0DN76_P82979	DSP predicted	1	no
